F2	FILES
Log skipped bugs	repos/libpng-code/contrib/libtests/pngimage.c
Attempt to deduce bad combos	repos/libpng-code/contrib/libtests/pngimage.c
List combos by name	repos/libpng-code/contrib/libtests/pngimage.c
"Result masks apply to the result bits in the 'results' field below; these
 * bits are simple 1U<<error_level.  A pass requires either nothing worse than
 * warnings (--relaxes) or nothing worse than information (--strict)"	repos/libpng-code/contrib/libtests/pngimage.c
Where to go to on error	repos/libpng-code/contrib/libtests/pngimage.c
The name of the original file	repos/libpng-code/contrib/libtests/pngimage.c
Operation being performed	repos/libpng-code/contrib/libtests/pngimage.c
Transform used in operation	repos/libpng-code/contrib/libtests/pngimage.c
See display_log below	repos/libpng-code/contrib/libtests/pngimage.c
A mask of errors seen	repos/libpng-code/contrib/libtests/pngimage.c
used on the original read	repos/libpng-code/contrib/libtests/pngimage.c
set by the original read	repos/libpng-code/contrib/libtests/pngimage.c
of the original rows:	repos/libpng-code/contrib/libtests/pngimage.c
from the original read	repos/libpng-code/contrib/libtests/pngimage.c
Original chunks valid	repos/libpng-code/contrib/libtests/pngimage.c
Original IHDR information	repos/libpng-code/contrib/libtests/pngimage.c
Derived information for the original image.	repos/libpng-code/contrib/libtests/pngimage.c
transforms that do something on read	repos/libpng-code/contrib/libtests/pngimage.c
transforms that should do nothing	repos/libpng-code/contrib/libtests/pngimage.c
"Used on a read, both the original read and when validating a written
    * image."	repos/libpng-code/contrib/libtests/pngimage.c
Used to write a new image (the original info_ptr is used)	repos/libpng-code/contrib/libtests/pngimage.c
where the file gets written	repos/libpng-code/contrib/libtests/pngimage.c
Data read from the original file	repos/libpng-code/contrib/libtests/pngimage.c
"Call this only once right at the start to initialize the control
    * structure, the (struct buffer) lists are maintained across calls - the
    * memory is not freed."	repos/libpng-code/contrib/libtests/pngimage.c
default to !verbose, !quiet	repos/libpng-code/contrib/libtests/pngimage.c
leave the filename for error detection	repos/libpng-code/contrib/libtests/pngimage.c
reset for next time	repos/libpng-code/contrib/libtests/pngimage.c
Release any memory held in the display.	repos/libpng-code/contrib/libtests/pngimage.c
The display pointer is always stored in the png_struct error pointer	repos/libpng-code/contrib/libtests/pngimage.c
prevents a crash	repos/libpng-code/contrib/libtests/pngimage.c
error handling	repos/libpng-code/contrib/libtests/pngimage.c
"Required to quiet GNUC warnings when the compiler sees a stdarg function
    * that calls one of the stdio v APIs."	repos/libpng-code/contrib/libtests/pngimage.c
"'level' is as above, fmt is a stdio style format string.  This routine
    * does not return if level is above LIBPNG_WARNING"	repos/libpng-code/contrib/libtests/pngimage.c
anything unexpected is an internal error:	repos/libpng-code/contrib/libtests/pngimage.c
else do not output any message	repos/libpng-code/contrib/libtests/pngimage.c
Errors cause this routine to exit to the fail code	repos/libpng-code/contrib/libtests/pngimage.c
error handler callbacks for libpng	repos/libpng-code/contrib/libtests/pngimage.c
Does the initial cache of the file.	repos/libpng-code/contrib/libtests/pngimage.c
NOTREACHED	repos/libpng-code/contrib/libtests/pngimage.c
Move to the next buffer:	repos/libpng-code/contrib/libtests/pngimage.c
Avoid update outside the loop	repos/libpng-code/contrib/libtests/pngimage.c
And do a sanity check (the EOF case is caught above)	repos/libpng-code/contrib/libtests/pngimage.c
NOTREACHED	repos/libpng-code/contrib/libtests/pngimage.c
"This cleans out any previous read and sets operation and transforms to
    * empty."	repos/libpng-code/contrib/libtests/pngimage.c
else this is a verify and do not overwrite info	repos/libpng-code/contrib/libtests/pngimage.c
"The png_read_png API requires us to make the info struct, but it does the
    * call to png_read_info."	repos/libpng-code/contrib/libtests/pngimage.c
Remove the user limits, if any	repos/libpng-code/contrib/libtests/pngimage.c
Set the IO handling	repos/libpng-code/contrib/libtests/pngimage.c
params	repos/libpng-code/contrib/libtests/pngimage.c
crazy debugging	repos/libpng-code/contrib/libtests/pngimage.c
"called once after the first read to update all the info, original_pp and
    * original_ip must have been filled in."	repos/libpng-code/contrib/libtests/pngimage.c
Now perform the initial read with a 0 transform.	repos/libpng-code/contrib/libtests/pngimage.c
no transform	repos/libpng-code/contrib/libtests/pngimage.c
Move the result to the 'original' fields	repos/libpng-code/contrib/libtests/pngimage.c
set by png_read_png	repos/libpng-code/contrib/libtests/pngimage.c
"'active' transforms are discovered based on the original image format;
    * running one active transform can activate others.  At present the code
    * does not attempt to determine the closure."	repos/libpng-code/contrib/libtests/pngimage.c
"Some transforms appear multiple times in the table; the 'active' status
       * is the logical OR of these and the inactive status must be adjusted to
       * take this into account."	repos/libpng-code/contrib/libtests/pngimage.c
excluding write-only transforms	repos/libpng-code/contrib/libtests/pngimage.c
Compare the png_info from read_ip with original_info	repos/libpng-code/contrib/libtests/pngimage.c
The IHDR should be identical:	repos/libpng-code/contrib/libtests/pngimage.c
'e' remains set to the name of the last thing changed:	repos/libpng-code/contrib/libtests/pngimage.c
"All the chunks from the original PNG should be preserved in the output PNG
    * because the PNG format has not been changed."	repos/libpng-code/contrib/libtests/pngimage.c
rowbytes should be the same	repos/libpng-code/contrib/libtests/pngimage.c
"NOTE: on 64-bit systems this may trash the top bits of rowbytes,
    * which could lead to weird error messages."	repos/libpng-code/contrib/libtests/pngimage.c
"The rows should be the same too, unless the applied transforms includes
    * the shift transform, in which case low bits may have been lost."	repos/libpng-code/contrib/libtests/pngimage.c
mask (if not zero) for the final byte	repos/libpng-code/contrib/libtests/pngimage.c
"Need the stray bits at the end, this depends only on the low bits
          * of the image width; overflow does not matter.  If the width is an
          * exact multiple of 8 bits this gives a mask of 0, not 0xff."	repos/libpng-code/contrib/libtests/pngimage.c
Find the first error	repos/libpng-code/contrib/libtests/pngimage.c
don't keep reporting failed rows on 'continue'	repos/libpng-code/contrib/libtests/pngimage.c
bits-per-pixel then bytes-per-pixel	repos/libpng-code/contrib/libtests/pngimage.c
components are up to 8 bytes in size	repos/libpng-code/contrib/libtests/pngimage.c
NOTREACHED	repos/libpng-code/contrib/libtests/pngimage.c
"libpng should catch this; if not there is a security issue
                * because an app (like this one) may overflow an array. In fact
                * libpng doesn't catch this at present."	repos/libpng-code/contrib/libtests/pngimage.c
!palette	repos/libpng-code/contrib/libtests/pngimage.c
"sanity check; this is a grayscale PNG; something is wrong in the
             * code above."	repos/libpng-code/contrib/libtests/pngimage.c
Two bytes per component, big-endian	repos/libpng-code/contrib/libtests/pngimage.c
big-endian	repos/libpng-code/contrib/libtests/pngimage.c
One byte per component	repos/libpng-code/contrib/libtests/pngimage.c
allowed, but dumb	repos/libpng-code/contrib/libtests/pngimage.c
Value is 1	repos/libpng-code/contrib/libtests/pngimage.c
Replicate 4 times	repos/libpng-code/contrib/libtests/pngimage.c
Value is 1 or 2	repos/libpng-code/contrib/libtests/pngimage.c
Value is 1, 2, 3 or 4	repos/libpng-code/contrib/libtests/pngimage.c
"Convert bpp to bytes; this gives '1' for low-bit depth grayscale,
          * where there are multiple pixels per byte."	repos/libpng-code/contrib/libtests/pngimage.c
The mask can be combined with sig_bits[0]	repos/libpng-code/contrib/libtests/pngimage.c
for y	repos/libpng-code/contrib/libtests/pngimage.c
!sBIT	repos/libpng-code/contrib/libtests/pngimage.c
!sBIT	repos/libpng-code/contrib/libtests/pngimage.c
compare succeeded	repos/libpng-code/contrib/libtests/pngimage.c
"Generic write function used both from the write callback provided to
    * libpng and from the generic read code."	repos/libpng-code/contrib/libtests/pngimage.c
Write the data into the buffer, adding buffers as required	repos/libpng-code/contrib/libtests/pngimage.c
avoid the need to rewrite every time	repos/libpng-code/contrib/libtests/pngimage.c
safety	repos/libpng-code/contrib/libtests/pngimage.c
flush	repos/libpng-code/contrib/libtests/pngimage.c
Remove the user limits, if any	repos/libpng-code/contrib/libtests/pngimage.c
"Certain transforms require the png_info to be zapped to allow the
    * transform to work correctly."	repos/libpng-code/contrib/libtests/pngimage.c
params	repos/libpng-code/contrib/libtests/pngimage.c
"Clean it on the way out - if control returns to the caller then the
    * written_file contains the required data."	repos/libpng-code/contrib/libtests/pngimage.c
WRITE_PNG	repos/libpng-code/contrib/libtests/pngimage.c
Helper to test for a bad combo and log it if it is skipped	repos/libpng-code/contrib/libtests/pngimage.c
"Log this to stdout if logging is on, otherwise just do an information
       * display_log."	repos/libpng-code/contrib/libtests/pngimage.c
skip	repos/libpng-code/contrib/libtests/pngimage.c
don't skip	repos/libpng-code/contrib/libtests/pngimage.c
"First cache the file and update the display original file
    * information for the new file."	repos/libpng-code/contrib/libtests/pngimage.c
"First test: if there are options that should be ignored for this file
    * verify that they really are ignored."	repos/libpng-code/contrib/libtests/pngimage.c
The result should be identical to the original_rows	repos/libpng-code/contrib/libtests/pngimage.c
transforms applied	repos/libpng-code/contrib/libtests/pngimage.c
no point testing more	repos/libpng-code/contrib/libtests/pngimage.c
"Second test: write the original PNG data out to a new file (to test the
    * write side) then read the result back in and make sure that it hasn't
    * changed."	repos/libpng-code/contrib/libtests/pngimage.c
transforms	repos/libpng-code/contrib/libtests/pngimage.c
transforms	repos/libpng-code/contrib/libtests/pngimage.c
transforms applied	repos/libpng-code/contrib/libtests/pngimage.c
"Third test: the active options.  Test each in turn, or, with the
    * EXHAUSTIVE option, test all possible combinations."	repos/libpng-code/contrib/libtests/pngimage.c
"Use unsigned int here because the code below to increment through all
       * the possibilities exhaustively has to use a compare and that must be
       * unsigned, because some transforms are negative on a 16-bit system."	repos/libpng-code/contrib/libtests/pngimage.c
bitwise AND of failing transforms	repos/libpng-code/contrib/libtests/pngimage.c
bitwise OR of failures	repos/libpng-code/contrib/libtests/pngimage.c
"If this involved any irreversible transformations then if we write
          * it out with just the reversible transformations and read it in again
          * with the same transforms we should get the same thing.  At present
          * this isn't done - it just seems like a waste of time and it would
          * require two sets of read png_struct/png_info.
          *
          * If there were no irreversible transformations then if we write it
          * out and read it back in again (without the reversible transforms)
          * we should get back to the place where we started."	repos/libpng-code/contrib/libtests/pngimage.c
"All transforms reversible: write the PNG with the transformations
             * reversed, then read it back in with no transformations.  The
             * result should be the same as the original apart from the loss of
             * low order bits because of the SHIFT/sBIT transform."	repos/libpng-code/contrib/libtests/pngimage.c
"And if this is read back in, because all the transformations were
             * reversible, the result should be the same."	repos/libpng-code/contrib/libtests/pngimage.c
for the SHIFT/sBIT transform	repos/libpng-code/contrib/libtests/pngimage.c
"This set of transforms failed.  If a single bit is set - if
                * there is just one transform - don't include this in further
                * 'exhaustive' tests.  Notice that each transform is tested on
                * its own before testing combos in the exhaustive case."	repos/libpng-code/contrib/libtests/pngimage.c
Now move to the next transform	repos/libpng-code/contrib/libtests/pngimage.c
all combinations	repos/libpng-code/contrib/libtests/pngimage.c
Everything tested	repos/libpng-code/contrib/libtests/pngimage.c
"skip known bad combos if the relevant option is set; skip
                * combos involving known bad single transforms in all cases."	repos/libpng-code/contrib/libtests/pngimage.c
skip cases that do nothing	repos/libpng-code/contrib/libtests/pngimage.c
one at a time	repos/libpng-code/contrib/libtests/pngimage.c
"bad_combos identifies the combos that occur in all failing cases;
          * bad_combo_list identifies transforms that do not prevent the
          * failure."	repos/libpng-code/contrib/libtests/pngimage.c
Exists solely to isolate the setjmp clobbers	repos/libpng-code/contrib/libtests/pngimage.c
shouldn't longjmp on warnings	repos/libpng-code/contrib/libtests/pngimage.c
For each file on the command line test it with a range of transforms	repos/libpng-code/contrib/libtests/pngimage.c
prevent display	repos/libpng-code/contrib/libtests/pngimage.c
Not an option	repos/libpng-code/contrib/libtests/pngimage.c
abort on user or internal error	repos/libpng-code/contrib/libtests/pngimage.c
Here on any return, including failures, except user/internal issues	repos/libpng-code/contrib/libtests/pngimage.c
Release allocated memory	repos/libpng-code/contrib/libtests/pngimage.c
!READ_PNG	repos/libpng-code/contrib/libtests/pngimage.c
