Sl No,File name,Github Link,Hoisted Link,Comment ID,Comment Text
19,server_terminal,https://smartkt.github.io/commentsSurvey/server_terminal.html,https://github.com/MariaDB/server/blob/10.5/extra/readline/terminal.c,server_terminal:comment6,"/*  If the calling application sets this to a non-zero value, readline will 
    use the $LINES and $COLUMNS environment variables to set its idea of the 
Comment 6
    window size before interrogating the kernel. */ "
20,server_terminal,https://smartkt.github.io/commentsSurvey/server_terminal.html,https://github.com/MariaDB/server/blob/10.5/extra/readline/terminal.c,server_terminal:comment7,/* Delete key */ 
21,server_terminal,https://smartkt.github.io/commentsSurvey/server_terminal.html,https://github.com/MariaDB/server/blob/10.5/extra/readline/terminal.c,server_terminal:comment8,"static int tcap_initialized; // should have a value greater than 1, is taken from user"
22,server_terminal,https://smartkt.github.io/commentsSurvey/server_terminal.html,https://github.com/MariaDB/server/blob/10.5/extra/readline/terminal.c,server_terminal:comment9,"/* used in character insertion in cursor functions below */ 
Comment 9
const char *_rl_term_im; "
23,server_terminal,https://smartkt.github.io/commentsSurvey/server_terminal.html,https://github.com/MariaDB/server/blob/10.5/extra/readline/terminal.c,server_terminal:comment10,/* Non-zero means the user wants to enable a meta key. */ 
24,server_terminal,https://smartkt.github.io/commentsSurvey/server_terminal.html,https://github.com/MariaDB/server/blob/10.5/extra/readline/terminal.c,server_terminal:comment11,if (force || im != rl_insert_mode) // rl_insert_mode defined in config_readline.h 
25,curl_util,https://smartkt.github.io/commentsSurvey/curl_util.html,https://github.com/curl/curl/blob/master/tests/server/util.c,curl_util:comment1,"/*
 * Copyright (C) 1998 - 2019, Daniel Stenberg, <daniel@haxx.se>, et al. 
Comment 1
 * 
 * This software is licensed as described in the file COPYING, which 
 * you should have received as part of this distribution. The terms 
 * are also available at https://curl.haxx.se/docs/copyright.html. */
"
26,curl_util,https://smartkt.github.io/commentsSurvey/curl_util.html,https://github.com/curl/curl/blob/master/tests/server/util.c,curl_util:comment2,"/* This function returns a pointer to STATIC memory. It converts the given 
 * binary lump to a hex formatted string usable for output in logs or 
Comment 2
 * whatever. 
 */ 
char *data_to_hex(char *data, size_t len)"
27,curl_util,https://smartkt.github.io/commentsSurvey/curl_util.html,https://github.com/curl/curl/blob/master/tests/server/util.c,curl_util:comment3,/* not thread safe but we don't care */ 
28,curl_util,https://smartkt.github.io/commentsSurvey/curl_util.html,https://github.com/curl/curl/blob/master/tests/server/util.c,curl_util:comment4,"/* uses global character buffer generated from message_generate function of sockfilt file*/ 
Comment 4
void win32_perror(const char *msg)"
29,curl_util,https://smartkt.github.io/commentsSurvey/curl_util.html,https://github.com/curl/curl/blob/master/tests/server/util.c,curl_util:comment5,"/* 
 * Portable function used for waiting a specific amount of ms. 
 * Waiting indefinitely with this function is not allowed, a 
 * zero or negative timeout value will return immediately. 
Comment 5
 * 
 * Return values: 
 *   -1 = system call error, or invalid timeout value 
 *    0 = specified timeout has elapsed 
 */ "
30,curl_util,https://smartkt.github.io/commentsSurvey/curl_util.html,https://github.com/curl/curl/blob/master/tests/server/util.c,curl_util:comment6,"//if(!timeout_ms) 
    //return 0; "
31,curl_util,https://smartkt.github.io/commentsSurvey/curl_util.html,https://github.com/curl/curl/blob/master/tests/server/util.c,curl_util:comment7," 
// todo: increase the sleep for vim editors in the next release "
32,curl_util,https://smartkt.github.io/commentsSurvey/curl_util.html,https://github.com/curl/curl/blob/master/tests/server/util.c,curl_util:comment8,// activate sleep function  
33,curl_util,https://smartkt.github.io/commentsSurvey/curl_util.html,https://github.com/curl/curl/blob/master/tests/server/util.c,curl_util:comment9,// assigned to integer variable  pending_ms 
34,curl_util,https://smartkt.github.io/commentsSurvey/curl_util.html,https://github.com/curl/curl/blob/master/tests/server/util.c,curl_util:comment10,// this probably never comes up - not sure 
35,plplot_mem,https://smartkt.github.io/commentsSurvey/plplot_plmem.html,https://github.com/PLplot/PLplot/blob/master/src/plmem.c,plplot_plmem:comment1,"//! @file 
//!  These functions provide allocation and deallocation of two-dimensional 
Comment 1
//!  arrays. 
//! "
36,plplot_mem,https://smartkt.github.io/commentsSurvey/plplot_plmem.html,https://github.com/PLplot/PLplot/blob/master/src/plmem.c,plplot_plmem:comment2,"//! Allocate a block of memory for use as a matrix of type 
//! PLFLT_MATRIX (organized as an Iliffe column vector of pointers to 
//! row vectors).  As a result the matrix can be accessed using C/C++ 
//! syntax like *f[i][j]. The memory associated with this matrix must 
//! be freed by calling plFree2dGrid once it is no longer required. 
//! Example usage: 
//!   PLFLT **z; 
//!   plAlloc2dGrid(&z, XPTS, YPTS); 
//! @param f Location of the storage (address of a **). 
//! @param nx Size of the grid in x. 
//! @param ny Size of the grid in y. 
//! "
37,plplot_mem,https://smartkt.github.io/commentsSurvey/plplot_plmem.html,https://github.com/PLplot/PLplot/blob/master/src/plmem.c,plplot_plmem:comment3,"//  plFree2dGrid function used extensively in resetting standard x-y plots, semi-log plots "
38,plplot_mem,https://smartkt.github.io/commentsSurvey/plplot_plmem.html,https://github.com/PLplot/PLplot/blob/master/src/plmem.c,plplot_plmem:comment4,"/* the data type PLINT is of 32 bit, unsigned and PLFLT is of 64 bit size,  
created specifically for PLplot API's.  
Comment 4
*/ "
39,plplot_mem,https://smartkt.github.io/commentsSurvey/plplot_plmem.html,https://github.com/PLplot/PLplot/blob/master/src/plmem.c,plplot_plmem:comment5,"// PLINT, PLFLT is defined in plplotP.h "
40,plplot_mem,https://smartkt.github.io/commentsSurvey/plplot_plmem.html,https://github.com/PLplot/PLplot/blob/master/src/plmem.c,plplot_plmem:comment6,"/* more information of PLplot datatypes and function can be found at their  
official documentation page -- http://plplot.sourceforge.net/docbook-manual/plplot-5.15.0.pdf  
*/ "
41,plplot_mem,https://smartkt.github.io/commentsSurvey/plplot_plmem.html,https://github.com/PLplot/PLplot/blob/master/src/plmem.c,plplot_plmem:comment7," // NOTE: this is *horrendous*, but seems to be the only way to free grid"
42,plplot_mem,https://smartkt.github.io/commentsSurvey/plplot_plmem.html,https://github.com/PLplot/PLplot/blob/master/src/plmem.c,plplot_plmem:comment8,"// a function to free 2d grid 
Comment 8 (LAST)
    free( (void *) f ); "
